Levonorgestrel,Birth Control
Levonorgestrel,Emergency Contraception
Levonorgestrel,Abnormal Uterine Bleeding
Levonorgestrel,Not Listed / Othe
Etonogestrel,Birth Control
Etonogestrel,Endometriosis
Ethinyl estradiol / norethindrone,Birth Control
Ethinyl estradiol / norethindrone,Acne
Ethinyl estradiol / norethindrone,Menstrual Disorders
Ethinyl estradiol / norethindrone,Abnormal Uterine Bleeding
Ethinyl estradiol / norethindrone,Polycystic Ovary Syndrome
Ethinyl estradiol / norethindrone,Endometriosis
Ethinyl estradiol / norethindrone,Postmenopausal Symptoms
Ethinyl estradiol / norethindrone,Not Listed / Othe
Nexplanon,Birth Control
Ethinyl estradiol / norgestimate,Birth Control
Ethinyl estradiol / norgestimate,Acne
Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding
Ethinyl estradiol / norgestimate,Ovarian Cysts
Ethinyl estradiol / norgestimate,Endometriosis
Ethinyl estradiol / norgestimate,Not Listed / Othe
Ethinyl estradiol / levonorgestrel,Birth Control
Ethinyl estradiol / levonorgestrel,Abnormal Uterine Bleeding
Ethinyl estradiol / levonorgestrel,Endometriosis
Ethinyl estradiol / levonorgestrel,Ovarian Cysts
Ethinyl estradiol / levonorgestrel,Polycystic Ovary Syndrome
Ethinyl estradiol / levonorgestrel,Premenstrual Syndrome
Ethinyl estradiol / levonorgestrel,Not Listed / Othe
Phentermine,Weight Loss
Phentermine,Obesity
Phentermine,Not Listed / Othe
Sertraline,Depression
Sertraline,Anxiety and Stress
Sertraline,Panic Disorde
Sertraline,Social Anxiety Disorde
Sertraline,Obsessive Compulsive Disorde
Sertraline,Generalized Anxiety Disorde
Sertraline,Major Depressive Disorde
Sertraline,Post Traumatic Stress Disorde
Sertraline,Bipolar Disorde
Sertraline,Premenstrual Dysphoric Disorde
Sertraline,Postpartum Depression
Sertraline,Borderline Personality Disorde
Sertraline,Not Listed / Othe
Sertraline,Vulvodynia
Sertraline,Persistent Depressive Disorde
Sertraline,Dissociative Identity Disorde
Sertraline,Body Dysmorphic Disorde
Sertraline,Trichotillomania
Escitalopram,Anxiety
Escitalopram,Depression
Escitalopram,Generalized Anxiety Disorde
Escitalopram,Major Depressive Disorde
Escitalopram,Bipolar Disorde
Escitalopram,Obsessive Compulsive Disorde
Escitalopram,ibromyalgia
Escitalopram,Irritable Bowel Syndrome
Escitalopram,Premenstrual Dysphoric Disorde
Escitalopram,Not Listed / Othe
Escitalopram,Borderline Personality Disorde
Escitalopram,Body Dysmorphic Disorde
Escitalopram,Trichotillomania
Mirena,Birth Control
Mirena,Abnormal Uterine Bleeding
Implanon,Birth Control
Gabapentin,Anxiety
Gabapentin,Pain
Gabapentin,ibromyalgia
Gabapentin,Peripheral Neuropathy
Gabapentin,Neuropathic Pain
Gabapentin,Bipolar Disorde
Gabapentin,Hot Flashes
Gabapentin,Migraine
Gabapentin,Restless Legs Syndrome
Gabapentin,Insomnia
Gabapentin,Diabetic Peripheral Neuropathy
Gabapentin,Postherpetic Neuralgia
Gabapentin,Alcohol Withdrawal
Gabapentin,Trigeminal Neuralgia
Gabapentin,Reflex Sympathetic Dystrophy Syndrome
Gabapentin,Benign Essential Trem
Gabapentin,Not Listed / Othe
Gabapentin,Epilepsy
Gabapentin,Spondylolisthesis
Gabapentin,Vulvodynia
Gabapentin,Small Fiber Neuropathy
Gabapentin,Pruritus
Gabapentin,Cough
Gabapentin,Pudendal Neuralgia
Gabapentin,Syringomyelia
Gabapentin,Burning Mouth Syndrome
Gabapentin,Transverse Myelitis
Gabapentin,Occipital Neuralgia
Bupropion,Depression
Bupropion,Smoking Cessation
Bupropion,Major Depressive Disorde
Bupropion,ADHD
Bupropion,Anxiety
Bupropion,Bipolar Disorde
Bupropion,"Sexual Dysfunction, SSRI Induced"
Bupropion,Seasonal Affective Disorde
Bupropion,Panic Disorde
Bupropion,Obesity
Bupropion,Not Listed / Othe
